sls_id,game_name,question,answer,images
577890394688196594,原神,龙怎么变回人？,长按跳跃键即可变回人形。,[https://img2.tapimg.com/moment/etag/Fme2559259AZ0zKdWCiOLr_hloup.jpg]
577961443807200196,地下城与勇士：起源,第一天24级极限了，还有别的方法升级吗,第一天可以通过使用疲劳药和经验药水达到更高等级，有玩家第一天达到了30级甚至31级。,"[https://img2.tapimg.com/moment/etag/FtfKtgVPlnMJuFWcwz7N5ZKCS3CP.jpg, https://img2.tapimg.com/moment/etag/Fod65rg-6M6PRZ66p6GlITBar0A5.jpg]"
571210764925275788,出发吧麦芬,精英怪哪里刷得快，什么怪算精英怪？,精英怪是固定频率出现的，无法加快刷新的速度。主线最后一关有精英怪。,[https://img2.tapimg.com/moment/etag/lkw8mEj-o0UFY62xikf7areI9slJ.jpg]
574925587135594502,出发吧麦芬,副宠等级要升到多少，有必要都拉到巅峰期吗？,先升主宠，主宠提升一个大等级，就先把两边的副宠给提升了，比如说主宠现在巅峰1级，那就先不要动，先把两个副宠升到巅峰，然后再继续升主宠，这样攻击力收益大。,[https://img2.tapimg.com/moment/etag/Fu9tmY99MG02ICy8_Ay6pL8zf8nv.png]
569771978731294290,出发吧麦芬,游侠职业两次up应该抽什么？,建议抽魔魔狗或雪豹。,"[https://img2.tapimg.com/moment/etag/Fv4oYeGHc-nB-5Ui6cWT2F5E5aHg.jpg, https://img2.tapimg.com/moment/etag/FpytD60RpRf7h-HdlZGKrQcLU2rv.jpg]"
568808376604033978,地下城与勇士：起源,49级出了把光剑，有必要转职业吗,目前鬼剑士能玩的C只有狂战士，其他职业相对较弱。,[https://img2.tapimg.com/moment/etag/FsDnnN3dCSFDmYl9jpupn_6vxOM8.jpg]
570363784225358691,出发吧麦芬,描述是加400防御，实际是加40。是bug还是就是这样的？,技能效果是释放后才有的，不会显示在面板上。30级的突破会给额外30防御，乘上一些加成后符合描述的数值。,"[https://img2.tapimg.com/moment/etag/FmE60W3qg6k_Rnw7mfgttBYuj4gi.jpg, https://img2.tapimg.com/moment/etag/FuAZp-D5dun7pexAoghN6dygrLOa.jpg, https://img2.tapimg.com/moment/etag/FklTDpmeYM5cROBTJsMLyT9BUXnO.jpg, https://img2.tapimg.com/moment/etag/FmxmptEY7Arx210DTPnLSEKW4gw_.jpg]"
574530784031934047,原神,零氪龙王，万叶，钟离选哪两个？,想要爽就选龙王，想要舒服增伤就选万叶，想要安全就选钟离。,[https://img2.tapimg.com/moment/etag/FhtaPLYcEl_AH2Z_bhgQiPyr8avy.jpg]
578888071768968841,出发吧麦芬,同战力情况下，三转游侠输出低的问题。,三转游侠在同战力情况下输出较低，建议宠物要红1。,"[https://img2.tapimg.com/moment/etag/ForS8DZqkXpx9zuNGuXoLawiUClz.png, https://img2.tapimg.com/moment/etag/FpGEo9rkQ-YnE-BQUkSlNl2FTR9f.png, https://img2.tapimg.com/moment/etag/FkEJx1hU0prgxPltiAXqiuioLnhC.png, https://img2.tapimg.com/moment/etag/Fm-4XcOcepPUJYraYbP8vqyFedZ5.png, https://img2.tapimg.com/moment/etag/FqGLowkd4jADl7GxCT3OweW9dLkg.png, https://img2.tapimg.com/moment/etag/FukWeX2K-aeSi6lxInmmxHY5aDYX.png]"
569578708583580364,出发吧麦芬,有办法查宠物的抽取记录吗,平民玩家无法查询宠物的抽取记录。,[https://img2.tapimg.com/moment/etag/FlG2kMrM0Xn81ZZLPUfBitczORzt.gif]
576458170189221381,出发吧麦芬,磁力宝背包里显示有350个，但在活动抽取界面里显示0，这是什么情况？,磁力宝分为不同的活动期，一期的磁力宝在二期活动中不通用。,"[https://img2.tapimg.com/moment/etag/FlvNpYMn3t2pEB_B6whVkIZzhoF3.jpg, https://img2.tapimg.com/moment/etag/FnFh8fOpDSehvhIa3lnJX9a0GoYW.jpg]"
573920334441351206,出发吧麦芬,麦乐兽抽奖50必定保底还是抽到金后重置保底？比如20发出金后面保底是30还是50？,抽到金后保底重置，49抽中了也从头开始。,[https://img2.tapimg.com/moment/etag/Fkghg20udLnpiX3u1cq_oqqUoJlg.jpg]
570757184321752136,地下城与勇士：起源,不知道深渊出的史诗装备和马戏团的装备哪个更好用,异界装备目前只有花花、鬼泣、奶妈三个职业是最好的，都是辅助，其他角色很少看到有穿异界的。,[https://img2.tapimg.com/moment/etag/FvwpNs3DKLN5Y82-7juy9inxIorn.jpg]
